age,monthly_income,loan_amount,loan_tenure_months,existing_emis,credit_score,dependents,work_experience_years,emi_to_income_ratio,loan_to_income_ratio,employment_type,employer_type,loan_type,city_tier,residential_status,payment_history,marital_status,gender,eligible
58,25000,1875479,84,0,661,3,10,0.8931,6.2516,Salaried,Government,Business Loan,Tier 1,Owned,Minor Delay,Divorced,Male,0
22,90000,2066211,180,2000,652,3,6,0.1498,1.9132,Salaried,Government,Home Loan,Tier 2,Rented,Clean,Divorced,Female,1
41,25000,2799771,12,0,806,1,13,5.0,9.3326,Self Employed,NGO,Education Loan,Tier 2,Parental,Clean,Married,Female,0
53,40000,734770,120,0,672,2,12,0.1531,1.5308,Salaried,Private Indian,Home Loan,Tier 2,Parental,Minor Delay,Single,Male,1
32,40000,2246432,180,0,624,4,11,0.312,4.6801,Salaried,Private Indian,Vehicle Loan,Tier 2,Owned,Minor Delay,Married,Female,1
42,40000,764075,240,20000,718,1,6,0.5796,1.5918,Salaried,Not Applicable,Education Loan,Metro,Owned,Clean,Single,Male,1
64,25000,1084472,180,0,628,3,9,0.241,3.6149,Student,Not Applicable,Business Loan,Tier 1,Rented,Serious Default,Divorced,Female,0
45,25000,1137241,120,0,640,4,9,0.3791,3.7908,Business Owner,Private MNC,Business Loan,Tier 1,Parental,Clean,Widowed,Female,0
47,60000,2425253,36,0,755,1,6,1.1228,3.3684,Self Employed,NGO,Vehicle Loan,Tier 2,Company Provided,Minor Delay,Married,Male,0
62,25000,1031093,24,2000,470,4,9,1.7985,3.437,Salaried,Not Applicable,Personal Loan,Tier 1,Company Provided,Clean,Widowed,Female,0
48,15000,2995504,36,5000,622,2,14,5.0,16.6417,Self Employed,NGO,Home Loan,Tier 1,Company Provided,Clean,Single,Male,0
36,25000,738235,48,0,645,3,15,0.6152,2.4608,Student,Government,Business Loan,Tier 1,Parental,Clean,Widowed,Male,0
35,60000,2260980,48,5000,823,2,10,0.8684,3.1402,Self Employed,Government,Education Loan,Metro,Company Provided,Clean,Divorced,Male,1
64,15000,1189391,84,10000,735,2,7,1.6106,6.6077,Salaried,NGO,Education Loan,Tier 1,Parental,Clean,Single,Female,0
23,150000,1293470,120,2000,697,3,12,0.0852,0.7186,Student,Startup,Education Loan,Tier 1,Company Provided,Clean,Divorced,Male,1
57,40000,1039269,48,5000,691,2,3,0.6663,2.1651,Self Employed,NGO,Vehicle Loan,Tier 2,Parental,Minor Delay,Single,Male,0
27,150000,1826349,84,5000,709,1,6,0.1783,1.0146,Salaried,Not Applicable,Personal Loan,Tier 2,Parental,Clean,Single,Female,1
41,90000,82356,240,0,719,1,14,0.0038,0.0763,Self Employed,Startup,Home Loan,Tier 3,Company Provided,Major Delay,Single,Female,1
29,40000,1364529,84,10000,710,4,17,0.6561,2.8428,Salaried,Startup,Education Loan,Metro,Company Provided,Minor Delay,Divorced,Male,0
59,15000,1010875,36,10000,855,1,13,2.5387,5.616,Salaried,Private Indian,Education Loan,Tier 2,Rented,Clean,Single,Female,0
38,15000,1919883,12,5000,664,1,7,5.0,10.666,Retired,Not Applicable,Business Loan,Tier 2,Parental,Minor Delay,Single,Male,0
24,25000,1863985,60,2000,713,4,0,1.3227,6.2133,Salaried,Private MNC,Personal Loan,Metro,Owned,Clean,Married,Female,0
45,60000,321609,36,20000,703,0,11,0.4822,0.4467,Freelancer,Public Sector,Business Loan,Tier 2,Parental,Minor Delay,Divorced,Female,1
34,25000,2343474,180,2000,775,3,10,0.6008,7.8116,Student,Government,Vehicle Loan,Tier 2,Company Provided,Serious Default,Single,Female,0
29,25000,1971897,12,0,644,1,10,5.0,6.573,Business Owner,Not Applicable,Vehicle Loan,Metro,Parental,Minor Delay,Single,Other,0
46,25000,2193175,24,2000,670,4,0,3.7353,7.3106,Business Owner,Startup,Home Loan,Tier 2,Parental,Major Delay,Single,Female,0
22,90000,1724214,36,5000,579,2,6,0.5877,1.5965,Student,Government,Vehicle Loan,Tier 3,Parental,Clean,Widowed,Male,0
40,15000,227696,36,10000,778,2,17,1.0883,1.265,Self Employed,Government,Home Loan,Metro,Parental,Clean,Widowed,Female,1
48,8000,1639291,180,2000,578,1,2,1.3884,17.0759,Salaried,Government,Business Loan,Tier 3,Rented,Clean,Married,Female,0
27,8000,476492,60,0,743,3,10,0.9927,4.9635,Student,NGO,Education Loan,Metro,Owned,Clean,Widowed,Male,0
64,90000,2357236,180,5000,834,4,4,0.2011,2.1826,Salaried,Private MNC,Education Loan,Metro,Rented,Minor Delay,Married,Female,1
28,40000,1233087,84,20000,854,4,10,0.867,2.5689,Salaried,Government,Personal Loan,Metro,Owned,Clean,Single,Male,1
55,25000,2626216,24,0,675,4,7,4.377,8.7541,Salaried,Not Applicable,Vehicle Loan,Metro,Owned,Clean,Divorced,Male,0
34,15000,1841267,48,10000,672,4,14,3.224,10.2293,Unemployed,Private MNC,Personal Loan,Metro,Owned,Minor Delay,Single,Female,0
37,25000,522919,240,2000,694,4,8,0.1672,1.7431,Student,Public Sector,Personal Loan,Tier 2,Company Provided,Clean,Divorced,Male,1
56,15000,2469585,48,10000,772,3,12,4.0966,13.7199,Self Employed,Public Sector,Education Loan,Metro,Parental,Minor Delay,Married,Male,0
60,90000,1508974,60,5000,689,4,18,0.335,1.3972,Salaried,Private Indian,Vehicle Loan,Tier 1,Rented,Clean,Divorced,Male,1
24,60000,513723,60,2000,678,3,12,0.176,0.7135,Salaried,Government,Education Loan,Tier 1,Owned,Clean,Married,Female,1
22,40000,994413,180,5000,785,3,10,0.2631,2.0717,Business Owner,Startup,Personal Loan,Metro,Company Provided,Clean,Married,Female,1
26,90000,2166811,84,20000,703,3,13,0.5088,2.0063,Salaried,Private Indian,Vehicle Loan,Metro,Owned,Clean,Divorced,Female,1
62,25000,736763,120,2000,687,2,10,0.3256,2.4559,Self Employed,NGO,Education Loan,Metro,Company Provided,Clean,Single,Female,1
24,60000,1525378,84,2000,629,0,4,0.336,2.1186,Self Employed,Not Applicable,Home Loan,Metro,Company Provided,Clean,Widowed,Female,1
49,60000,2157512,60,0,782,1,3,0.5993,2.9965,Freelancer,Not Applicable,Home Loan,Tier 2,Parental,Serious Default,Single,Male,0
38,25000,2955008,60,0,719,2,11,1.97,9.85,Business Owner,Private Indian,Business Loan,Metro,Parental,Clean,Married,Male,0
46,60000,2195943,36,10000,699,0,4,1.1833,3.0499,Salaried,Public Sector,Business Loan,Metro,Rented,Minor Delay,Single,Male,0
64,25000,446281,120,0,551,2,4,0.1488,1.4876,Business Owner,Startup,Vehicle Loan,Metro,Owned,Clean,Single,Male,1
54,25000,1373020,60,10000,776,3,7,1.3153,4.5767,Salaried,Government,Business Loan,Tier 2,Owned,Clean,Single,Female,0
30,15000,2704810,120,2000,609,3,0,1.636,15.0267,Salaried,Government,Vehicle Loan,Tier 1,Owned,Clean,Widowed,Female,0
56,25000,775191,24,35000,736,4,4,2.692,2.584,Salaried,Public Sector,Personal Loan,Metro,Company Provided,Minor Delay,Divorced,Female,0
34,60000,551503,240,0,637,3,4,0.0383,0.766,Salaried,NGO,Home Loan,Tier 2,Rented,Clean,Widowed,Female,1
51,90000,2117911,180,0,614,2,20,0.1307,1.961,Salaried,Private MNC,Vehicle Loan,Tier 2,Parental,Clean,Single,Male,1
35,40000,333071,60,0,774,1,11,0.1388,0.6939,Salaried,Public Sector,Personal Loan,Metro,Parental,Minor Delay,Divorced,Male,1
28,90000,553623,24,10000,708,3,5,0.3674,0.5126,Salaried,Startup,Home Loan,Tier 2,Rented,Clean,Single,Female,1
34,60000,1894040,84,2000,703,0,4,0.4091,2.6306,Salaried,Private MNC,Education Loan,Metro,Parental,Clean,Married,Male,1
43,15000,2764694,180,0,856,2,0,1.024,15.3594,Salaried,Startup,Personal Loan,Metro,Owned,Serious Default,Single,Female,0
60,40000,914845,120,20000,854,0,0,0.6906,1.9059,Salaried,Government,Education Loan,Tier 2,Company Provided,Clean,Divorced,Female,0
41,15000,2056811,180,20000,680,4,0,2.0951,11.4267,Self Employed,Private MNC,Business Loan,Tier 2,Owned,Minor Delay,Widowed,Female,0
36,40000,2894714,48,10000,595,4,3,1.7577,6.0307,Freelancer,Startup,Vehicle Loan,Tier 3,Rented,Minor Delay,Widowed,Female,0
38,90000,1484636,36,0,813,1,7,0.4582,1.3747,Salaried,Not Applicable,Home Loan,Tier 1,Parental,Clean,Single,Male,1
44,15000,1957310,120,2000,592,2,7,1.2207,10.8739,Business Owner,Government,Business Loan,Metro,Rented,Serious Default,Widowed,Other,0
46,60000,755314,24,10000,738,1,3,0.6912,1.049,Self Employed,Startup,Personal Loan,Tier 2,Rented,Clean,Divorced,Male,0
45,40000,922189,60,2000,678,0,7,0.4342,1.9212,Retired,Private MNC,Business Loan,Metro,Parental,Clean,Widowed,Female,1
61,40000,1001937,120,0,706,1,0,0.2087,2.0874,Salaried,Government,Education Loan,Tier 3,Rented,Clean,Widowed,Female,1
49,25000,2949516,12,0,798,0,10,5.0,9.8317,Self Employed,Startup,Education Loan,Metro,Owned,Clean,Single,Female,0
35,25000,2204955,48,35000,637,1,11,3.2375,7.3498,Business Owner,Private Indian,Vehicle Loan,Metro,Rented,Clean,Divorced,Male,0
21,8000,1232200,24,0,651,4,10,5.0,12.8354,Self Employed,Private MNC,Business Loan,Metro,Company Provided,Minor Delay,Divorced,Male,0
45,15000,630915,84,10000,760,2,13,1.1674,3.5051,Self Employed,Private MNC,Home Loan,Tier 1,Owned,Clean,Married,Male,0
27,8000,1440530,12,2000,843,1,0,5.0,15.0055,Student,Private MNC,Education Loan,Metro,Owned,Clean,Widowed,Female,0
29,40000,1143956,120,10000,897,0,8,0.4883,2.3832,Student,NGO,Personal Loan,Tier 1,Rented,Clean,Divorced,Male,1
44,15000,2307474,36,5000,583,2,3,4.6064,12.8193,Business Owner,Government,Business Loan,Metro,Owned,Clean,Married,Male,0
21,90000,1949694,12,2000,666,4,2,1.8275,1.8053,Salaried,Private MNC,Home Loan,Metro,Rented,Major Delay,Single,Female,0
64,40000,1481041,180,2000,617,4,0,0.2557,3.0855,Freelancer,Startup,Home Loan,Metro,Company Provided,Minor Delay,Married,Female,0
28,40000,881460,120,10000,767,3,20,0.4336,1.8364,Self Employed,Not Applicable,Home Loan,Metro,Rented,Minor Delay,Married,Male,1
44,25000,2817807,24,2000,704,2,12,4.7763,9.3927,Student,Private Indian,Home Loan,Tier 1,Parental,Clean,Divorced,Male,0
31,40000,1998149,120,10000,770,1,16,0.6663,4.1628,Business Owner,Startup,Education Loan,Tier 2,Rented,Minor Delay,Married,Male,0
37,90000,322667,36,5000,668,4,9,0.1551,0.2988,Salaried,Startup,Vehicle Loan,Tier 1,Owned,Clean,Single,Male,1
28,15000,588057,240,5000,755,1,3,0.4967,3.267,Salaried,Private MNC,Business Loan,Tier 2,Rented,Clean,Divorced,Female,1
55,25000,2079122,180,2000,685,1,11,0.542,6.9304,Freelancer,Private Indian,Education Loan,Metro,Rented,Clean,Divorced,Male,0
55,60000,162035,60,0,711,0,19,0.045,0.225,Retired,Private Indian,Vehicle Loan,Metro,Parental,Minor Delay,Divorced,Male,1
53,15000,1274293,120,10000,653,1,10,1.3746,7.0794,Unemployed,Not Applicable,Home Loan,Tier 3,Parental,Clean,Divorced,Male,0
25,8000,1844679,36,0,808,3,7,5.0,19.2154,Student,Private Indian,Personal Loan,Metro,Owned,Minor Delay,Single,Male,0
62,25000,1553934,12,35000,598,2,9,5.0,5.1798,Self Employed,Private Indian,Home Loan,Tier 1,Company Provided,Serious Default,Single,Male,0
59,15000,2828069,12,35000,690,2,13,5.0,15.7115,Salaried,Public Sector,Vehicle Loan,Tier 1,Company Provided,Clean,Single,Female,0
61,40000,2906239,24,0,842,0,7,3.0273,6.0547,Business Owner,Not Applicable,Vehicle Loan,Tier 1,Owned,Clean,Widowed,Female,0
48,15000,1440502,180,0,802,3,7,0.5335,8.0028,Salaried,Not Applicable,Personal Loan,Tier 3,Owned,Clean,Single,Male,1
27,90000,390526,12,2000,632,3,4,0.3838,0.3616,Student,Private Indian,Education Loan,Tier 3,Owned,Clean,Married,Female,1
29,60000,1266733,60,35000,636,2,9,0.9352,1.7594,Freelancer,Private MNC,Personal Loan,Tier 3,Company Provided,Clean,Divorced,Male,0
28,40000,2066788,240,2000,741,3,1,0.2653,4.3058,Student,NGO,Home Loan,Tier 1,Company Provided,Serious Default,Married,Male,0
32,40000,1543149,240,2000,751,4,6,0.2107,3.2149,Salaried,Private Indian,Business Loan,Tier 3,Company Provided,Clean,Single,Male,1
54,90000,1243118,24,10000,795,1,7,0.6866,1.151,Salaried,Startup,Education Loan,Tier 1,Parental,Clean,Widowed,Female,1
53,15000,915144,120,0,587,1,2,0.5084,5.0841,Self Employed,Public Sector,Business Loan,Metro,Rented,Serious Default,Widowed,Female,0
43,90000,1468137,12,2000,805,2,7,1.3816,1.3594,Salaried,Startup,Business Loan,Metro,Parental,Minor Delay,Divorced,Male,1
44,60000,2357306,36,0,627,2,12,1.0913,3.274,Business Owner,Private MNC,Education Loan,Metro,Parental,Minor Delay,Single,Male,0
57,60000,1760741,84,5000,806,3,15,0.4327,2.4455,Self Employed,Private MNC,Home Loan,Tier 2,Parental,Major Delay,Widowed,Female,1
55,40000,1029532,240,0,570,0,6,0.1072,2.1449,Freelancer,Not Applicable,Vehicle Loan,Metro,Rented,Clean,Married,Male,1
64,25000,1280420,24,5000,610,2,5,2.334,4.2681,Salaried,NGO,Home Loan,Tier 1,Company Provided,Clean,Widowed,Female,0
60,25000,572797,120,20000,837,2,6,0.9909,1.9093,Unemployed,NGO,Vehicle Loan,Tier 3,Rented,Clean,Divorced,Male,0
42,60000,1041120,48,5000,842,2,11,0.4448,1.446,Business Owner,Private Indian,Vehicle Loan,Tier 2,Parental,Minor Delay,Widowed,Male,1
47,8000,1724286,24,5000,708,3,4,5.0,17.9613,Student,Not Applicable,Education Loan,Tier 1,Rented,Serious Default,Single,Female,0
55,60000,2415926,36,0,673,4,4,1.1185,3.3555,Salaried,NGO,Education Loan,Metro,Company Provided,Clean,Married,Male,0
21,25000,960906,84,2000,698,2,9,0.5376,3.203,Salaried,Private MNC,Personal Loan,Metro,Parental,Clean,Divorced,Female,0
55,15000,2508165,240,0,733,4,10,0.6967,13.9342,Retired,Public Sector,Business Loan,Metro,Parental,Serious Default,Divorced,Female,0
57,15000,1244507,180,5000,740,3,9,0.7943,6.9139,Salaried,Not Applicable,Business Loan,Metro,Owned,Clean,Widowed,Male,0
34,8000,464399,240,0,676,0,8,0.2419,4.8375,Salaried,NGO,Business Loan,Tier 2,Company Provided,Clean,Divorced,Female,1
23,40000,2056518,48,0,545,1,5,1.0711,4.2844,Student,Startup,Business Loan,Metro,Parental,Clean,Widowed,Male,0
21,15000,1740420,48,0,656,1,8,2.4172,9.669,Salaried,Private MNC,Personal Loan,Metro,Parental,Minor Delay,Married,Female,0
25,150000,1327071,240,2000,575,1,0,0.0502,0.7373,Salaried,NGO,Vehicle Loan,Metro,Company Provided,Minor Delay,Widowed,Female,1
46,40000,304809,180,5000,761,1,15,0.1673,0.635,Salaried,NGO,Personal Loan,Tier 1,Parental,Minor Delay,Divorced,Female,1
34,15000,779672,24,5000,729,3,8,2.4991,4.3315,Salaried,Private MNC,Education Loan,Tier 2,Owned,Minor Delay,Married,Male,0
59,40000,1113597,180,0,691,1,18,0.1547,2.32,Business Owner,Public Sector,Home Loan,Tier 2,Rented,Major Delay,Widowed,Female,1
47,90000,1823799,12,5000,679,3,14,1.7443,1.6887,Salaried,Government,Vehicle Loan,Metro,Owned,Minor Delay,Divorced,Male,0
29,60000,498781,240,2000,857,0,3,0.068,0.6928,Freelancer,Government,Vehicle Loan,Tier 2,Rented,Clean,Divorced,Female,1
35,8000,491259,240,5000,791,2,6,0.8809,5.1173,Self Employed,Public Sector,Personal Loan,Tier 1,Owned,Minor Delay,Single,Female,0
35,90000,2875662,180,10000,716,2,2,0.2886,2.6627,Retired,Private MNC,Education Loan,Tier 3,Rented,Clean,Widowed,Male,1
46,60000,2211513,60,2000,656,2,4,0.6476,3.0715,Salaried,Public Sector,Education Loan,Tier 1,Owned,Clean,Widowed,Female,1
62,15000,2017325,60,0,803,3,0,2.2415,11.2074,Freelancer,Public Sector,Vehicle Loan,Tier 1,Parental,Major Delay,Widowed,Female,0
33,8000,2057091,36,5000,708,3,3,5.0,21.428,Student,Government,Personal Loan,Tier 1,Rented,Minor Delay,Married,Male,0
52,40000,846787,60,20000,648,3,2,0.8528,1.7641,Freelancer,Private Indian,Business Loan,Metro,Company Provided,Clean,Married,Male,0
59,15000,1197417,48,5000,652,0,12,1.9964,6.6523,Salaried,NGO,Vehicle Loan,Tier 1,Company Provided,Clean,Single,Male,0
52,60000,2064772,12,10000,752,4,0,3.0344,2.8677,Salaried,Private MNC,Business Loan,Tier 2,Owned,Clean,Single,Other,1
24,25000,2851516,240,10000,776,3,19,0.8753,9.5051,Salaried,Startup,Home Loan,Tier 2,Owned,Clean,Single,Male,0
50,90000,1344876,48,5000,750,3,6,0.3669,1.2453,Business Owner,Public Sector,Education Loan,Tier 3,Owned,Clean,Divorced,Male,1
57,40000,210786,36,5000,752,2,14,0.2714,0.4391,Salaried,Not Applicable,Vehicle Loan,Metro,Rented,Major Delay,Divorced,Female,1
43,15000,591486,84,2000,675,1,3,0.6028,3.286,Retired,Government,Home Loan,Metro,Parental,Clean,Single,Male,0
59,15000,379095,12,5000,656,1,11,2.4394,2.1061,Student,Private Indian,Business Loan,Tier 2,Company Provided,Clean,Divorced,Other,0
35,40000,2125414,60,5000,711,0,0,1.0106,4.4279,Salaried,Not Applicable,Vehicle Loan,Metro,Owned,Clean,Single,Female,0
63,60000,1577774,120,10000,693,1,0,0.3858,2.1914,Salaried,Private MNC,Home Loan,Metro,Rented,Clean,Married,Female,1
49,60000,1364530,24,2000,619,4,13,0.9809,1.8952,Student,Not Applicable,Vehicle Loan,Tier 1,Rented,Clean,Divorced,Male,0
56,25000,960175,240,0,697,2,7,0.16,3.2006,Self Employed,Public Sector,Home Loan,Tier 2,Company Provided,Minor Delay,Divorced,Male,1
33,15000,1356884,84,10000,755,0,7,1.7436,7.5382,Self Employed,Government,Home Loan,Tier 2,Company Provided,Minor Delay,Single,Male,0
52,8000,784480,24,5000,668,1,2,4.7108,8.1717,Freelancer,Public Sector,Business Loan,Tier 3,Parental,Major Delay,Widowed,Male,0
27,40000,1911791,180,35000,826,1,3,1.1405,3.9829,Salaried,Startup,Education Loan,Tier 2,Company Provided,Clean,Single,Male,1
42,8000,171701,180,2000,599,2,0,0.3692,1.7886,Student,Not Applicable,Personal Loan,Tier 2,Parental,Major Delay,Divorced,Female,0
48,25000,2639433,12,0,634,0,5,5.0,8.7981,Unemployed,Private MNC,Home Loan,Tier 3,Parental,Minor Delay,Divorced,Male,0
22,40000,1104739,12,0,654,2,9,2.3015,2.3015,Salaried,NGO,Education Loan,Tier 1,Rented,Minor Delay,Single,Female,0
62,90000,1030591,12,10000,765,0,8,1.0654,0.9543,Salaried,Private MNC,Personal Loan,Tier 2,Rented,Minor Delay,Single,Female,1
26,25000,2995655,48,0,716,1,8,2.4964,9.9855,Student,Private MNC,Business Loan,Metro,Parental,Minor Delay,Single,Male,0
48,25000,1114641,48,20000,629,2,0,1.7289,3.7155,Business Owner,Private MNC,Vehicle Loan,Tier 1,Owned,Clean,Divorced,Male,0
48,40000,1483043,180,0,550,2,8,0.206,3.0897,Salaried,Government,Education Loan,Tier 3,Parental,Clean,Divorced,Male,1
64,40000,954401,12,20000,605,4,6,2.4883,1.9883,Salaried,Startup,Vehicle Loan,Tier 3,Company Provided,Clean,Divorced,Female,0
64,25000,2492752,36,10000,559,2,4,3.1697,8.3092,Salaried,Public Sector,Vehicle Loan,Metro,Parental,Clean,Married,Female,0
40,90000,2644873,12,20000,769,0,1,2.6712,2.449,Student,Government,Personal Loan,Tier 1,Parental,Minor Delay,Single,Female,0
50,60000,298924,240,0,615,4,11,0.0208,0.4152,Self Employed,Not Applicable,Education Loan,Tier 2,Parental,Clean,Married,Female,1
31,15000,2850860,240,5000,754,2,0,1.1252,15.8381,Self Employed,Private Indian,Home Loan,Metro,Owned,Serious Default,Single,Male,0
48,25000,2140923,120,0,743,2,1,0.7136,7.1364,Student,Private MNC,Personal Loan,Tier 3,Owned,Clean,Married,Female,0
45,40000,1990711,180,0,795,4,8,0.2765,4.1473,Self Employed,Private MNC,Education Loan,Tier 2,Parental,Clean,Single,Female,1
59,60000,594517,12,2000,642,1,5,0.8591,0.8257,Self Employed,Public Sector,Home Loan,Metro,Company Provided,Major Delay,Widowed,Male,0
53,8000,1413307,60,10000,732,2,9,4.1944,14.7219,Student,Private MNC,Vehicle Loan,Tier 2,Rented,Clean,Married,Female,0
21,40000,1873334,24,0,709,3,8,1.9514,3.9028,Salaried,Private MNC,Business Loan,Tier 2,Company Provided,Clean,Divorced,Male,0
47,40000,1780933,12,20000,709,1,4,4.2103,3.7103,Student,Public Sector,Business Loan,Metro,Rented,Major Delay,Divorced,Other,0
33,25000,595389,36,0,698,2,0,0.6615,1.9846,Salaried,Startup,Personal Loan,Tier 1,Company Provided,Minor Delay,Married,Male,0
61,40000,2354087,120,2000,767,1,11,0.5404,4.9043,Self Employed,Government,Home Loan,Tier 3,Owned,Clean,Single,Female,1
23,90000,240477,12,0,758,0,7,0.2227,0.2227,Salaried,Startup,Home Loan,Metro,Company Provided,Clean,Married,Female,1
59,8000,1264596,24,10000,699,1,1,5.0,13.1729,Student,Public Sector,Business Loan,Tier 1,Parental,Clean,Divorced,Female,0
26,25000,1985272,24,0,663,4,0,3.3088,6.6176,Self Employed,NGO,Home Loan,Tier 2,Rented,Clean,Divorced,Male,0
28,25000,2069111,48,20000,654,2,9,2.5243,6.897,Salaried,Not Applicable,Education Loan,Metro,Company Provided,Clean,Divorced,Male,0
47,90000,350065,36,5000,702,1,4,0.1636,0.3241,Salaried,Not Applicable,Education Loan,Metro,Company Provided,Clean,Married,Male,1
29,150000,2617375,36,20000,717,3,2,0.618,1.4541,Salaried,NGO,Business Loan,Tier 1,Company Provided,Clean,Married,Male,1
57,25000,2561439,60,0,692,0,13,1.7076,8.5381,Business Owner,NGO,Vehicle Loan,Tier 1,Owned,Minor Delay,Widowed,Female,0
53,60000,771478,36,2000,596,0,0,0.3905,1.0715,Self Employed,Private MNC,Vehicle Loan,Metro,Owned,Minor Delay,Single,Female,0
62,40000,229354,120,5000,675,1,6,0.1728,0.4778,Retired,Not Applicable,Vehicle Loan,Metro,Company Provided,Serious Default,Widowed,Male,0
64,40000,1714589,60,10000,657,4,11,0.9644,3.5721,Unemployed,Private MNC,Business Loan,Tier 3,Owned,Clean,Divorced,Female,0
44,25000,2467741,48,2000,701,0,10,2.1365,8.2258,Self Employed,Startup,Personal Loan,Tier 3,Company Provided,Serious Default,Widowed,Male,0
35,15000,786427,36,20000,900,1,1,2.7897,4.369,Self Employed,Private Indian,Home Loan,Tier 1,Owned,Clean,Divorced,Male,0
52,25000,1442928,48,0,734,1,14,1.2024,4.8098,Salaried,Government,Education Loan,Metro,Company Provided,Clean,Single,Male,0
52,40000,1546608,24,10000,800,0,15,1.861,3.2221,Student,Private MNC,Education Loan,Metro,Parental,Clean,Widowed,Male,1
44,8000,1467003,12,2000,645,1,13,5.0,15.2813,Salaried,Public Sector,Personal Loan,Metro,Owned,Clean,Divorced,Male,0
61,90000,2232931,36,0,701,1,3,0.6892,2.0675,Salaried,Startup,Home Loan,Tier 2,Company Provided,Serious Default,Widowed,Female,0
32,15000,1101636,24,2000,798,3,6,3.1934,6.1202,Business Owner,Not Applicable,Vehicle Loan,Tier 2,Rented,Serious Default,Married,Male,0
59,15000,2797246,12,20000,573,1,14,5.0,15.5403,Student,Government,Education Loan,Metro,Parental,Clean,Married,Male,0
22,40000,2487126,12,35000,681,1,10,5.0,5.1815,Self Employed,NGO,Vehicle Loan,Metro,Owned,Clean,Single,Female,0
23,60000,2692159,24,2000,749,4,4,1.9029,3.7391,Retired,Private Indian,Vehicle Loan,Tier 2,Company Provided,Serious Default,Single,Female,0
57,15000,2063122,240,20000,694,0,6,1.9064,11.4618,Salaried,NGO,Business Loan,Tier 1,Rented,Minor Delay,Widowed,Female,0
37,25000,2132214,60,5000,654,4,0,1.6215,7.1074,Self Employed,NGO,Business Loan,Tier 1,Rented,Clean,Single,Female,0
22,150000,1613159,240,10000,659,2,13,0.1115,0.8962,Salaried,Not Applicable,Home Loan,Tier 2,Rented,Clean,Single,Male,1
22,25000,2697765,180,0,725,4,7,0.5995,8.9926,Unemployed,Private MNC,Education Loan,Tier 1,Parental,Clean,Married,Male,0
